story_id,orig_culture,target_culture,semantic_similarity
1,Asian,European,0.7969883680343628
1,Asian,African_Diaspora,0.8611413836479187
2,Asian,European,0.7336716651916504
2,Asian,African_Diaspora,0.7515882849693298
3,African_Diaspora,European,0.7586647272109985
3,African_Diaspora,Asian,0.7872388958930969
4,Asian,European,0.8665327429771423
4,Asian,African_Diaspora,0.7968494296073914
5,Asian,European,0.7679015398025513
5,Asian,African_Diaspora,0.8600165843963623
6,African_Diaspora,European,0.8287773728370667
6,African_Diaspora,Asian,0.852452278137207
7,Asian,European,0.6764028668403625
7,Asian,African_Diaspora,0.525118350982666
8,Asian,European,0.6970728635787964
8,Asian,African_Diaspora,0.7458997964859009
9,African_Diaspora,European,0.5280131101608276
9,African_Diaspora,Asian,0.5414626598358154
10,European,Asian,0.7336121201515198
10,European,African_Diaspora,0.8245174884796143
11,African_Diaspora,European,0.7955301403999329
11,African_Diaspora,Asian,0.7907635569572449
12,European,Asian,0.48401758074760437
12,European,African_Diaspora,0.551526665687561
13,African_Diaspora,European,0.5509771108627319
13,African_Diaspora,Asian,0.4956195056438446
14,African_Diaspora,European,0.6063117980957031
14,African_Diaspora,Asian,0.5360548496246338
15,European,Asian,0.8352307081222534
15,European,African_Diaspora,0.8279376029968262
16,Asian,European,0.7428635954856873
16,Asian,African_Diaspora,0.7716060876846313
17,European,Asian,0.8859857320785522
17,European,African_Diaspora,0.8479663133621216
18,African_Diaspora,European,0.848076343536377
18,African_Diaspora,Asian,0.7833355665206909
19,Asian,European,0.721464216709137
19,Asian,African_Diaspora,0.6916847229003906
20,European,Asian,0.7553731203079224
20,European,African_Diaspora,0.7149250507354736
21,Asian,European,0.7608864903450012
21,Asian,African_Diaspora,0.7597063779830933
22,European,Asian,0.8480193614959717
22,European,African_Diaspora,0.75449538230896
23,European,Asian,0.8568575382232666
23,European,African_Diaspora,0.846921980381012
24,Asian,European,0.6499360799789429
24,Asian,African_Diaspora,0.6783996224403381
25,European,Asian,0.47063010931015015
25,European,African_Diaspora,0.790991485118866
26,African_Diaspora,European,0.7995046377182007
26,African_Diaspora,Asian,0.8346090912818909
27,African_Diaspora,European,0.6304669976234436
27,African_Diaspora,Asian,0.6040416955947876
28,African_Diaspora,European,0.7034335136413574
28,African_Diaspora,Asian,0.7605909705162048
29,European,Asian,0.7538479566574097
29,European,African_Diaspora,0.7383205890655518
30,European,Asian,0.7804045677185059
30,European,African_Diaspora,0.7828550338745117
